Links,Video_title,Video pub­lish time,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions-click-through rate (%)
1Lg--Papafk,Jag mein sundar haay do naam bhajan sandhya || Harmonium notes in description,"Nov 22, 2019",65,495,14.7983,28,9467,2.96
6qb9gF91fus,Ek dil hay ek jaan hay harmonium cover by Arko Mukherjee (duet)  (HEADPHONES RECOMMENDED),"Aug 9, 2019",64,492,12.631,7,3666,5.86
HwuEc086ByM,Shaabaashiyaan (Mission Mangal) full song with Karaoke (male cover) | Harmonium notes in description,"Dec 27, 2019",63,1138,15.4502,52,14679,5.42
jy2XrRxSVzM,Achiving a perfect clock pulse ( 50-52% duty cycle ),"Feb 8, 2018",63,2080,50.1188,10,15344,10.81
XYX67Als9M0,Raakh Full karaoke with lyrics and less noise || Arijit Singh || Get free karaoke from Robin2bin,"Feb 21, 2020",61,2271,41.5819,19,14890,11.79
uOsR1krscN8,Bhari bhari matke jaiso full karaoke||MANN BHEETAR || Shreya Ghosal pt. Birju Maharaj,"Feb 9, 2020",60,2366,48.6695,36,12110,12.49
GYF7DDdFI8A,Kasam karaoke with lyrics download |Arijit Singh|Babloo Bachelor|Get free karaoke from Robin2bin,"Mar 4, 2020",59,2176,48.8254,16,17184,9.67
Y8G7w6FCeGA,Khwaja Mere Khwaja (Solo Version) || Cover by Arko Mukherjee (HEADPHONES RECOMMENDED),"Jul 19, 2019",58,352,9.4289,14,5480,3.3
5Pmr9ZhwIXU,Raghupati Raghav Raja Ram | Sachet Tandon | Lyrical,"Jul 1, 2020",57,2715,84.1843,9,29486,3.93
AgC2mAPzc2U,Zara Thehro Full karaoke download(BEST QUALITY)| Armaan Malik | download link in description,"Jul 8, 2020",55,2017,33.4382,5,15343,10.17
CcF3DWLJ-B8,Yeh moh moh ke dhaage  || Male Cover by Arko Mukherjee (HEADPHONES RECOMMENDED),"Jul 26, 2019",52,208,5.0813,1,3477,3.39
WN-TyuLQczM,Hardum Humdum Karaoke with tabla | LUDO| Arijit Singh,"Nov 14, 2020",50,1644,23.7177,9,11463,11.84
E3iIdd4ljFA,Teri nazar - 99song full karaoke ||ARRAhaman||get free karaoke from Robin2bin,"Mar 12, 2020",47,976,15.3279,40,7451,10
WrspBVfFDTI,Bharat ki beti unplugged karaoke|Arijit Singh|download link of full karaoke in description,"Aug 6, 2020",47,3049,37.3628,7,18168,12.28
330c7a4IAVQ,Autonomus line follower robot by Arko Mukherjee in Celsius2K19,"Apr 21, 2019",42,149,1.791,2,1832,5.19
owToOAVNj9I,Tujhe bhoolna toh chaaha - Karaoke | Rochak K ft. Jubin N | Robin2bin,"Mar 31, 2021",42,1055,19.2673,6,9643,8.89
yGieNEdRmjk,Jwalamukhi full song karaoke DOWNLOAD with lyrics without CHOROUS || Arijit Singh || AR Rahaman,"Feb 21, 2020",42,1782,26.0287,5,14605,9.54
1scRrnGhcHk,How hacker got killed in pubg mobile game || hackets playing TDM || killing hackers! || PUBG videos,"Oct 25, 2019",40,184,2.3225,6,1560,6.22
QKw3WRyduB4,Tum Ho - Arijit Singh Full original karaoke download | Babloo Bachelor|Arijit Singh|Robin2bin,"Jun 18, 2020",38,1171,22.0791,10,9086,10.43
wAmm7kn4anw,Maskhari instrumental with lyrics| Dil Bechara |Original karaoke downoad link in description,"Aug 5, 2020",38,425,5.9465,6,5293,4.48
tnsC0aWRAt8,Time to forget EVM and get OVM || Online Voting System,"May 1, 2019",37,96,1.9468,1,1223,4.66
JxBmJf1cjRw,||DIY|| Digital Calendar || Home Automation using arduino 3,"Aug 2, 2019",35,129,1.6563,-1,2765,3.4
ygnYhdWiPH4,Khulke Jeene ka Instrumental TABLA | Dil bechara | download karaoke with tabla link in description.,"Jul 30, 2020",35,503,9.8286,3,6723,5.43
dFd9-yBrTp4,Addition of two no.s using half adder circuit (with practical in 7 segment display),"Oct 23, 2017",34,658,13.9823,1,4989,7.92
ioOdNPY5gbA,Setting up Internet interface Home automation using Arduino 4|| Learn Android full course link given,"Nov 15, 2019",34,93,1.4383,8,1808,2.65
3HXU2PwHM80,Thode se kam Ajnabi - Pagglait Karaoke | Drumpad Cover | Arijit Singh,"Mar 19, 2021",33,1170,18.6694,3,9949,9.97
KCsLx7o9yFY,Mere Rashke Qamar || cover by Arko Mukherjee(HEADPHONES RECOMMENDED),"Jun 27, 2019",33,255,4.4697,2,6229,2.6
xRoGz9qAU90,Hardum Humdum TABLA COVER | Robin2bin Edition | LUDO | Arijit Singh,"Nov 14, 2020",32,900,19.2599,3,6286,11.39
TQYYWx11hYA,Complete aeroplane view with night view || Robin2bin blog 1,"Feb 4, 2020",31,88,2.025,19,1680,3.45
6_xHZFiztz4,Nach Meri Rani INSTRUMENTAL TABLA (COPYRIGHT FREE KARAOKE)|Guru Randhwa|Download original karaoke,"Oct 20, 2020",30,895,9.4912,3,8080,9.06
_dhb7JBc_qs,Namo Namo Ji Shankara | Robin2bin Edition | Karaoke with tabla available in description,"Oct 26, 2020",29,246,9.3731,1,3896,4.52
